Share pledge ratio of controlling shareholders,Pledge ratio of unlimited shares,audit opinion ,Downgrade or negative,Ratio of other receivables to total assets,ROA,Asset liability ratio,Pledge ratio of limited sale shares,ROE,Enterprise age,IsDefault
0.5361128,0.141957244,0.0,0.0,0.003813112,0.09846,0.544986794,0.0,0.186691,17.51666667,0
0.196402617,0.0,0.0,0.0,0.008386255,0.135702,0.252553575,0.0,0.220072,0.816666667,0
0.624955674,0.200817143,0.0,0.0,0.024726233,0.042478,0.779885171,0.0,0.08237,9.727777778,0
0.816964976,0.0,0.0,0.0,0.217303445,0.062571,0.463886242,0.0,0.073431,16.75,0
0.0,0.0,0.0,0.0,0.025106386,0.090234,0.566604727,0.0,0.136573,3.497222222,0
0.053607948,0.023745159,0.0,0.0,0.001494636,0.102224,0.588694885,0.0,0.175244,5.830555556,0
0.0,0.0,0.0,0.0,0.028627076,0.117796,0.573512261,0.005749856,0.183611,1.416666667,0
0.591729873,0.301217909,0.0,0.0,0.006354909,0.039881,0.636271139,0.0,0.078438,10.19444444,0
0.346886813,0.0,0.0,0.0,0.018789979,0.086438,0.466807407,0.0,0.087299,6.966666667,0
0.508543777,0.172703789,0.0,0.0,0.013793277,0.064783,0.493672234,0.0,0.092521,11.64722222,0
1.0,0.0,0.0,0.0,0.010876723,0.125386,0.366144086,0.0,0.128953,17.58333333,0
0.18654596,0.0,0.0,0.0,0.004454714,0.100057,0.308383058,0.0,0.115033,7.772222222,0
0.0,0.0,0.0,0.0,0.005166355,0.05775,0.508097053,0.0,0.090511,8.283333333,0
0.332750233,0.100325019,0.0,0.0,0.000606953,0.035796,0.237536988,0.0,0.039531,24.59166667,0
0.707481446,0.0,0.0,0.0,0.009234547,0.043702,0.331315289,0.0,0.060607,21.33888889,0
0.522438751,0.201966441,0.0,0.0,0.008004985,0.083699,0.228680372,0.0,0.092163,4.927777778,0
0.320414377,0.215127119,0.0,0.0,0.012441584,0.113884,0.676087351,0.0,0.265432,3.577777778,0
0.0,0.0,0.0,0.0,0.001079053,0.21557,0.312305916,0.0,0.263381,5.008333333,0
0.471382078,0.179037584,0.0,0.0,0.002651181,0.129001,0.429938596,0.0,0.202218,24.64444444,0
0.253677843,0.0,0.0,0.0,0.010104718,0.089884,0.158506085,0.0,0.091435,8.036111111,0
0.466069564,0.0,0.0,0.0,0.001411053,0.099883,0.553627448,0.0,0.206614,21.41111111,0
